cfg_id,day,ok,aco_pnl,total_pnl,cfg_json,make_offset,min_take_edge,maker_mode,make_portion,soft_cap,skew_strength,ema_alpha
21,0,True,14150.0,14150.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",3,1,join,0.8,60,0,0.25
20,-1,True,14912.0,14912.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",3,0,join,0.8,60,0,0.25
21,-2,True,13724.0,13724.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",3,1,join,0.8,60,0,0.25
21,-1,True,15144.0,15144.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",3,1,join,0.8,60,0,0.25
20,0,True,13809.0,13809.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",3,0,join,0.8,60,0,0.25
22,-2,True,13011.0,13011.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",3,2,join,0.8,60,0,0.25
23,0,True,12577.0,12577.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",3,3,join,0.8,60,0,0.25
23,-2,True,12375.0,12375.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",3,3,join,0.8,60,0,0.25
22,-1,True,14506.0,14506.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",3,2,join,0.8,60,0,0.25
22,0,True,13526.0,13526.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",3,2,join,0.8,60,0,0.25
23,-1,True,13513.0,13513.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",3,3,join,0.8,60,0,0.25
24,-2,True,11238.0,11238.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",4,0,join,0.8,60,0,0.25
24,-1,True,12896.0,12896.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",4,0,join,0.8,60,0,0.25
25,-1,True,13065.0,13065.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",4,1,join,0.8,60,0,0.25
24,0,True,11835.0,11835.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",4,0,join,0.8,60,0,0.25
25,-2,True,11655.0,11655.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",4,1,join,0.8,60,0,0.25
25,0,True,12187.0,12187.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",4,1,join,0.8,60,0,0.25
26,-2,True,10889.0,10889.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",4,2,join,0.8,60,0,0.25
26,-1,True,12381.0,12381.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",4,2,join,0.8,60,0,0.25
26,0,True,11453.0,11453.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",4,2,join,0.8,60,0,0.25
27,0,True,10494.0,10494.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",4,3,join,0.8,60,0,0.25
27,-2,True,10246.0,10246.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",4,3,join,0.8,60,0,0.25
27,-1,True,11379.0,11379.0,"{""ema_alpha"": 0.25, ""make_offset"": 4, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",4,3,join,0.8,60,0,0.25
28,-2,True,3042.0,3042.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.6, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-2,1,join,0.6,60,0,0.25
28,-1,True,3567.0,3567.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.6, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-2,1,join,0.6,60,0,0.25
28,0,True,3511.0,3511.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 0.6, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-2,1,join,0.6,60,0,0.25
29,-2,True,3042.0,3042.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 1.0, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-2,1,join,1.0,60,0,0.25
29,0,True,3511.0,3511.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 1.0, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-2,1,join,1.0,60,0,0.25
29,-1,True,3567.0,3567.0,"{""ema_alpha"": 0.25, ""make_offset"": -2, ""make_portion"": 1.0, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-2,1,join,1.0,60,0,0.25
30,-2,True,3042.0,3042.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.6, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-1,1,join,0.6,60,0,0.25
30,-1,True,3567.0,3567.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.6, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-1,1,join,0.6,60,0,0.25
30,0,True,4261.0,4261.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 0.6, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-1,1,join,0.6,60,0,0.25
31,-1,True,3567.0,3567.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 1.0, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-1,1,join,1.0,60,0,0.25
31,-2,True,3042.0,3042.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 1.0, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-1,1,join,1.0,60,0,0.25
31,0,True,4261.0,4261.0,"{""ema_alpha"": 0.25, ""make_offset"": -1, ""make_portion"": 1.0, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",-1,1,join,1.0,60,0,0.25
32,-2,True,19974.0,19974.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.6, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",0,1,join,0.6,60,0,0.25
32,-1,True,21368.0,21368.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.6, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",0,1,join,0.6,60,0,0.25
32,0,True,20004.0,20004.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 0.6, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",0,1,join,0.6,60,0,0.25
33,-2,True,19981.0,19981.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 1.0, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",0,1,join,1.0,60,0,0.25
33,0,True,20113.0,20113.0,"{""ema_alpha"": 0.25, ""make_offset"": 0, ""make_portion"": 1.0, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",0,1,join,1.0,60,0,0.25
